rental_id,bike_id,duration_minute,start_station_name,end_station_name
44720910,9,29,"Park Road (Baker Street), The Regent's Park","Park Road (Baker Street), The Regent's Park"
56000731,9,10,"Clifton Road, Maida Vale","Clifton Road, Maida Vale"
42979685,9,58,"Belvedere Road, South Bank","Belvedere Road, South Bank"
45853528,9,23,"Albert Gate, Hyde Park","Albert Gate, Hyde Park"
48243378,9,31,"Albert Gate, Hyde Park","Albert Gate, Hyde Park"
53653081,9,21,"Tavistock Place, Bloomsbury","Tavistock Place, Bloomsbury"
59571468,9,26,"Ravenscourt Park Station, Hammersmith","Ravenscourt Park Station, Hammersmith"
63789077,9,17,"Storey's Gate, Westminster","Storey's Gate, Westminster"
45897443,9,76,"Penywern Road, Earl's Court","Penywern Road, Earl's Court"
55498633,9,55,"Albert Gate, Hyde Park","Albert Gate, Hyde Park"
46601830,9,9,"Green Park Station, Mayfair","Green Park Station, Mayfair"
48882454,9,0,"Bayswater Road, Hyde Park","Bayswater Road, Hyde Park"
58879360,9,15,"Hyde Park Corner, Hyde Park","Hyde Park Corner, Hyde Park"
55486248,9,42,"Albert Gate, Hyde Park","Albert Gate, Hyde Park"
55490727,9,36,"Albert Gate, Hyde Park","Albert Gate, Hyde Park"
64965622,9,45,"Islington Green, Angel","Islington Green, Angel"
50893002,9,180,"Putney Bridge Station, Fulham","Putney Bridge Station, Fulham"
49103835,9,141,"Alfreda Street, Battersea Park","Alfreda Street, Battersea Park"
43314031,9,17,"Fore Street, Guildhall","Fore Street, Guildhall"
59720396,9,248,"BBC White City, White City","BBC White City, White City"
63156488,9,23,"The Tennis Courts, The Regent's Park","The Tennis Courts, The Regent's Park"
46164100,9,30,"Kensington Church Street, Kensington","Kensington Church Street, Kensington"
40351151,9,74,"Gloucester Terrace, Bayswater","Gloucester Terrace, Bayswater"
58033127,9,5,"Kennington Station, Kennington","Kennington Station, Kennington"
59112344,9,12,"Harrowby Street, Marylebone","Harrowby Street, Marylebone"
