predicted_duration,duration,start_station_name,dayofweek,hourofday
1258.6888114306844,2220,"Euston Road, Euston",5,21
1606.4011622831717,2160,"Euston Road, Euston",7,10
1210.8231290276158,9180,"Euston Road, Euston",2,20
1455.6922621346371,2280,"Euston Road, Euston",2,14
1437.7454161758783,2400,"Euston Road, Euston",2,15
2397.3303621091432,4500,"Euston Road, Euston",7,1
1320.9544710635969,4020,"Euston Road, Euston",3,13
1398.1020106400642,60,"Euston Road, Euston",6,12
2117.6099006349482,0,"Euston Road, Euston",6,1
1431.6644770351127,7500,"Euston Road, Euston",6,11
2197.9407390957672,3840,"Euston Road, Euston",4,3
1395.5198078345447,3480,"Euston Road, Euston",5,11
1606.4011622831717,5400,"Euston Road, Euston",7,10
995.92689333704311,3540,"Euston Road, Euston",2,6
1677.4939893352125,2400,"Euston Road, Euston",1,10
1320.9544710635969,4080,"Euston Road, Euston",3,13
1650.4560822400103,3000,"Euston Road, Euston",1,17
1429.689255180047,2160,"Euston Road, Euston",4,15
1340.1793146699861,6780,"Euston Road, Euston",5,23
1656.0444453447494,3060,"Euston Road, Euston",7,23
2233.9720453476434,3360,"Euston Road, Euston",5,2
1548.1942323776334,3660,"Euston Road, Euston",7,20
2620.9300030744471,18540,"Euston Road, Euston",1,2
1680.2840094232852,15180,"Euston Road, Euston",3,0
1340.1793146699861,6120,"Euston Road, Euston",5,23
1269.0300589331541,2160,"Euston Road, Euston",2,10
2140.2292076762155,2880,"Euston Road, Euston",1,0
1340.4513687642416,2160,"Euston Road, Euston",2,12
1606.4011622831717,2400,"Euston Road, Euston",7,10
2328.0316036657337,2400,"Euston Road, Euston",7,4
1268.473770903438,3660,"Euston Road, Euston",6,20
2620.9300030744471,56400,"Euston Road, Euston",1,2
1680.2840094232852,2100,"Euston Road, Euston",3,0
1322.5325673084185,1980,"Euston Road, Euston",3,11
1017.4328660122974,2100,"Euston Road, Euston",5,6
1650.4560822400103,2160,"Euston Road, Euston",1,17
1606.4011622831717,2160,"Euston Road, Euston",7,10
