no_install_date,install_date,count_bike,sum_bike_end,percentage_end
,2010-07-16,12852,51512,4.0080921257391848
,,13612,0,0
,2012-04-05,6534,9059,1.3864401591674318
,2012-01-30,10209,20590,2.0168478793221669
,2013-11-28,4442,5527,1.2442593426384512
,2011-03-02,4730,5960,1.2600422832980973
,2012-01-17,7610,11932,1.5679369250985544
,2010-07-09,8345,13675,1.6387058118633913
,2013-11-18,6081,8400,1.3813517513566849
,2010-07-04,10427,21860,2.0964802915507814
,2012-01-22,8368,13993,1.6722036328871892
,2013-10-23,2072,2269,1.09507722007722
,2013-10-28,1892,2045,1.0808668076109937
,2010-07-20,13233,77458,5.8533968110027956
,2010-07-19,12961,54851,4.2320037034179459
,2010-07-21,13430,108398,8.07133283693224
,2016-03-04,928,972,1.0474137931034482
,2013-11-07,3115,3649,1.1714285714285715
,2010-07-23,12725,49063,3.855638506876228
,2013-11-11,8659,14668,1.6939600415752396
,2010-07-07,11949,33445,2.7989789940580803
,2010-07-08,11342,27512,2.425674484217951
,2014-02-20,924,962,1.0411255411255411
,2012-02-02,4521,5675,1.2552532625525326
,2013-11-20,10043,20385,2.0297719804839192
,2011-10-13,5729,7692,1.34264269506022
,2012-01-10,5264,6808,1.2933130699088147
,2011-07-15,6110,8331,1.3635024549918167
,2010-07-26,12121,35208,2.9047108324395676
,2010-07-13,11878,32757,2.7577875063141941
,2013-10-27,4807,6086,1.2660703141252341
,2010-07-06,11715,31265,2.66880068288519
,2010-07-15,13374,103128,7.7110812023328847
,2013-10-18,4109,5028,1.2236553906059868
,2014-01-08,1847,1996,1.0806713589604764
,2010-07-10,13047,60183,4.6127845481719936
,2010-07-14,13342,92932,6.9653725078698843
,2010-07-27,10052,19740,1.9637883008356547
,2010-07-17,13047,62097,4.7594849390664518
,2014-02-12,1465,1561,1.0655290102389079
,2012-02-01,4237,5275,1.244984658956809
,2016-01-04,4212,5158,1.224596391263058
,2012-01-19,11215,27371,2.4405706642888987
,2010-07-22,12823,51021,3.9788660999766043
,2013-09-30,3145,3685,1.1717011128775834
,2012-03-16,1341,1415,1.0551826994780016
,2010-07-18,11845,32785,2.7678345293372733
,2011-06-22,1529,1651,1.0797907128842381
,2013-11-06,6382,9080,1.4227514885615795
,2012-02-06,2178,2402,1.1028466483011938
,2016-01-11,1372,1466,1.0685131195335278
,2013-12-04,5959,8069,1.3540862560832354
,2013-11-13,7388,11201,1.5161072008662697
,2012-01-07,11287,27958,2.4770089483476565
,2014-04-02,4460,5529,1.2396860986547085
,2010-11-16,510,521,1.0215686274509803
,2013-11-27,5137,6742,1.3124391668288884
,2010-11-05,5554,7347,1.3228303925099028
,2010-12-07,7615,11683,1.5342087984241628
,2013-12-05,2646,2977,1.1250944822373394
,2013-11-22,4831,6144,1.2717863796315463
,2011-02-03,4391,5429,1.2363926212707812
